Date,Open,High,Low,Close,Adj Close,Volume
9/23/2019,15.35,18.690001,14.33,17.219999,17.219999,0
9/30/2019,17.23,21.459999,15.79,17.040001,17.040001,0
10/7/2019,18.27,20.379999,15.11,15.58,15.58,0
10/14/2019,15.66,16.5,13.31,14.25,14.25,0
10/21/2019,14.24,15.12,12.62,12.65,12.65,0
10/28/2019,13.01,13.95,12.26,12.3,12.3,0
11/4/2019,12.68,13.39,12,12.07,12.07,0
11/11/2019,13.15,13.9,11.92,12.05,12.05,0
11/18/2019,12.39,14.17,12.16,12.34,12.34,0
11/25/2019,12.51,12.83,11.42,12.62,12.62,0
12/2/2019,12.69,17.99,12.55,13.62,13.62,0
12/9/2019,14.25,16.9,12.25,12.63,12.63,0
12/16/2019,12.47,12.78,11.71,12.51,12.51,0
12/23/2019,12.81,13.72,11.72,13.43,13.43,0
12/30/2019,13.74,16.200001,12.42,14.02,14.02,0
1/6/2020,15.45,16.389999,12.09,12.56,12.56,0
1/13/2020,12.84,13.82,11.75,12.1,12.1,0
1/20/2020,13.23,15.98,12.31,14.56,14.56,0
1/27/2020,17.42,19.99,14.94,18.84,18.84,0
2/3/2020,18.639999,18.879999,14.7,15.47,15.47,0
2/10/2020,15.88,16.43,13.38,13.68,13.68,0
2/17/2020,14.98,18.209999,14.21,17.08,17.08,0
2/24/2020,22.25,49.48,22,40.110001,40.110001,0
3/2/2020,38.540001,54.389999,24.93,41.939999,41.939999,0
3/9/2020,41.939999,77.57,41.939999,57.830002,57.830002,0
3/16/2020,57.830002,85.470001,57.419998,66.040001,66.040001,0
3/23/2020,74.080002,76.739998,36.240002,65.540001,65.540001,0
3/30/2020,66.300003,67.690002,46.740002,46.799999,46.799999,0
4/6/2020,44.169998,47.509998,41.389999,41.669998,41.669998,0
4/13/2020,44.599998,45.040001,37.310001,38.150002,38.150002,0
4/20/2020,40.68,47.77,35.599998,35.93,35.93,0
4/27/2020,36.290001,39.57,30.540001,37.189999,37.189999,0
5/4/2020,39.130001,40.32,27.889999,27.98,27.98,0
5/11/2020,28.459999,39.279999,26,31.889999,31.889999,0
5/18/2020,30.709999,31.549999,27.67,28.16,28.16,0
5/25/2020,27.719999,30.530001,25.92,27.51,27.51,0
6/1/2020,28.940001,30.6,23.540001,24.52,24.52,0
6/8/2020,25.559999,44.16,24.65,36.09,36.09,0
6/15/2020,44.09,44.439999,30.4,35.119999,35.119999,0
6/22/2020,35.220001,37.119999,29.26,34.73,34.73,0
6/29/2020,35.049999,36.310001,25.9,27.68,27.68,0
7/6/2020,27.76,31.48,24.92,27.290001,27.290001,0
7/13/2020,27.85,33.669998,25.41,25.68,25.68,0
7/20/2020,26.940001,28.58,23.6,25.84,25.84,0
7/27/2020,26.6,28.290001,23.549999,24.459999,24.459999,0
8/3/2020,25.75,26.01,20.969999,22.209999,22.209999,0
8/10/2020,22.879999,24.93,20.280001,22.049999,22.049999,0
8/17/2020,22.52,24.6,20.99,22.540001,22.540001,0
8/24/2020,22.870001,27.09,20.92,22.959999,22.959999,0
8/31/2020,23.91,38.279999,21.77,30.75,30.75,0
9/7/2020,30.610001,35.93,26.51,26.870001,26.870001,0
9/14/2020,25.860001,28.92,24.84,25.83,25.83,0
9/21/2020,28.040001,31.18,25.190001,26.379999,26.379999,0
9/28/2020,27.15,29.9,24.9,27.629999,27.629999,0
10/5/2020,29.52,30,24.030001,25,25,0
10/12/2020,25.65,29.059999,24.139999,27.41,27.41,0
10/19/2020,27.360001,30.549999,27.040001,27.549999,27.549999,0
10/26/2020,29.379999,41.16,29.219999,38.02,38.02,0
11/2/2020,38.57,38.779999,24.559999,24.860001,24.860001,0
11/9/2020,24.799999,27.27,22.41,23.1,23.1,0
11/16/2020,23.66,24.52,21.66,23.700001,23.700001,0
11/23/2020,23.66,23.959999,19.51,20.84,20.84,0
11/30/2020,22.639999,22.889999,19.969999,20.790001,20.790001,0
12/7/2020,22.040001,25.139999,20.1,23.309999,23.309999,0
12/14/2020,22.67,24.82,21.52,21.57,21.57,0
12/21/2020,24.25,31.459999,21.389999,21.530001,21.530001,0
12/28/2020,22.110001,23.719999,20.99,22.75,22.75,0
1/4/2021,23.040001,29.190001,21.42,21.559999,21.559999,0
1/11/2021,23.309999,25.799999,21.66,24.34,24.34,0
1/18/2021,23.030001,23.73,21.09,21.91,21.91,0
1/25/2021,22.309999,37.509998,22.200001,33.09,33.09,0
2/1/2021,31.450001,33.959999,20.860001,20.870001,20.870001,0
2/8/2021,21.889999,23.85,19.690001,19.969999,19.969999,0
2/15/2021,21.129999,24.23,20.84,22.049999,22.049999,0
2/22/2021,24.459999,31.16,21.309999,27.950001,27.950001,0
3/1/2021,25.200001,31.9,22.450001,24.66,24.66,0
3/8/2021,27.610001,28.389999,20.629999,20.690001,20.690001,0
3/15/2021,21.84,23.17,18.950001,20.950001,20.950001,0
3/22/2021,21.91,23.549999,18.68,18.860001,18.860001,0
3/29/2021,20.4,21.75,17.290001,17.33,17.33,0
4/5/2021,18.16,18.4,16.200001,16.690001,16.690001,0
4/12/2021,17.43,17.91,15.38,16.25,16.25,0
4/19/2021,17.040001,19.9,16.780001,17.33,17.33,0
4/26/2021,17.940001,19.25,16.67,18.610001,18.610001,0
5/3/2021,18.65,21.85,16.68,16.690001,16.690001,0
5/10/2021,17.34,28.93,17.07,18.809999,18.809999,0
5/17/2021,19.889999,25.959999,18.809999,20.15,20.15,0
5/24/2021,20.5,20.51,15.9,16.76,16.76,0
5/31/2021,17.24,19.27,15.68,16.42,16.42,0
6/7/2021,17.34,18.290001,15.15,15.65,15.65,0
6/14/2021,16.040001,21.040001,15.04,20.700001,20.700001,0
6/21/2021,21.74,21.82,14.19,15.62,15.62,0
6/28/2021,16.07,17.309999,14.1,15.07,15.07,0
7/5/2021,15.77,21.290001,15.73,16.18,16.18,0
7/12/2021,16.85,18.700001,15.94,18.450001,18.450001,0
7/19/2021,19.610001,25.09,16.33,17.200001,17.200001,0
7/26/2021,18.67,20.440001,17.190001,18.24,18.24,0
8/2/2021,18.16,20.440001,16.139999,16.15,16.15,0
8/9/2021,17.120001,17.389999,15.19,15.45,15.45,0
8/16/2021,17.049999,24.74,16.02,18.559999,18.559999,0
8/23/2021,18.83,19.27,16.110001,16.389999,16.389999,0
8/30/2021,16.77,17.07,15.68,16.41,16.41,0
9/6/2021,16.940001,21.129999,16.889999,20.950001,20.950001,0
9/13/2021,19.639999,21.51,17.65,20.809999,20.809999,0
9/20/2021,24.25,28.790001,17.629999,17.75,17.75,0
9/27/2021,17.780001,24.889999,17.74,21.1,21.1,0
10/4/2021,22.9,24.58,18.200001,18.77,18.77,0
10/11/2021,19.93,20.809999,15.72,16.299999,16.299999,0
10/18/2021,17.290001,17.93,14.84,15.43,15.43,0
10/25/2021,16.139999,18.059999,14.9,16.26,16.26,0
11/1/2021,16.85,17.700001,14.73,16.48,16.48,0
11/8/2021,17.23,19.9,16.15,16.290001,16.290001,0
11/15/2021,17.030001,19.01,16.030001,17.91,17.91,0
11/22/2021,18.200001,28.99,17.35,28.620001,28.620001,0
11/29/2021,25.309999,35.32,21.709999,30.67,30.67,0
12/6/2021,28.99,30.82,18.690001,18.690001,18.690001,0
12/13/2021,19.290001,23.469999,18.190001,21.57,21.57,0
12/20/2021,25.889999,27.389999,17.620001,17.959999,17.959999,0
12/27/2021,19.370001,19.41,16.620001,17.219999,17.219999,0
1/3/2022,17.6,21.059999,16.34,18.76,18.76,0
1/10/2022,19.58,23.33,17.360001,19.190001,19.190001,0
1/17/2022,21.18,29.790001,21.18,28.85,28.85,0
1/24/2022,28.200001,38.939999,26.9,27.66,27.66,0
1/31/2022,28.360001,29.41,20.459999,23.219999,23.219999,0
2/7/2022,24.09,30.99,19.93,27.360001,27.360001,0
2/14/2022,29.17,32.040001,23.879999,27.75,27.75,0
2/21/2022,31.799999,37.790001,26.93,27.59,27.59,0
2/28/2022,32.439999,35.189999,28.43,31.98,31.98,0
3/7/2022,35.880001,37.52,28.84,30.75,30.75,0
3/14/2022,31.030001,33.830002,23.85,23.870001,23.870001,0
3/21/2022,25.139999,25.360001,20.799999,20.809999,20.809999,0
3/28/2022,22.139999,23.33,18.67,19.629999,19.629999,0
4/4/2022,20.75,24.780001,18.450001,21.16,21.16,0
4/11/2022,23.09,25.379999,20.85,22.700001,22.700001,0
4/18/2022,24.52,28.27,19.75,28.209999,28.209999,0
4/25/2022,30.040001,34.34,26.799999,33.400002,33.400002,0
5/2/2022,33.349998,36.639999,24.940001,30.190001,30.190001,0
5/9/2022,31.9,35.48,28.780001,28.870001,28.870001,0
5/16/2022,30.01,33.110001,25.51,29.43,29.43,0
5/23/2022,28.98,31.07,25.57,25.719999,25.719999,0
5/30/2022,27.469999,28.35,24.33,24.790001,24.790001,0
6/6/2022,25.370001,29.629999,23.74,27.75,27.75,0
6/13/2022,31.370001,35.049999,27.76,31.129999,31.129999,0
6/20/2022,30.629999,31.57,26.83,27.23,27.23,0
6/27/2022,28.299999,30.219999,26.469999,26.700001,26.700001,0
7/4/2022,27.370001,29.82,24.43,24.639999,24.639999,0
7/11/2022,26.42,29.059999,24.129999,24.23,24.23,0
7/18/2022,24.83,25.91,22.41,23.030001,23.030001,0
7/25/2022,24.33,25.309999,21.209999,21.33,21.33,0
